track,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,labels,track_genre
Awaken,-1.29259273,-1.084726495,-1.306085034,-0.277735228,-0.491546615,1.239477146,1.545710322,-0.483925916,-1.094623672,0.301530478,3,other
Away From Me,0.441346269,-0.779812774,1.201404041,1.012414146,1.001404107,-0.999831453,-0.741760752,0.00611374,-0.753409599,1.296335417,2,grunge
Back Where I Belong (feat. Avicii),-0.585373125,-0.163887059,1.006373779,0.982130082,0.168346964,-0.927494542,-0.572567631,2.04794564,0.833632598,0.264060961,2,other
Back+,-0.193243771,-0.859090342,-1.529919766,-2.034452229,-0.103098622,1.393847346,1.610497084,-0.342853894,-1.07875325,-1.828106497,3,other
Bad Feeling,-0.84534415,-0.072412943,-0.532865057,0.269911644,-0.510267,-0.154678726,1.102170179,-0.454226543,-0.43600116,-1.276881896,0,pop
Bad Kingdom,-0.281530391,-0.749321402,-0.991936289,-0.371483107,-0.507926952,1.251537318,-0.725813242,-0.409677484,-1.231902822,-0.008506494,0,other
Bad Timing,0.703681829,-0.322442194,-0.721894388,0.186539979,-0.734911623,0.660588894,-0.74042764,-0.599010987,-0.634381434,0.994537441,0,pop
Ballad of the Dying Man,1.276442477,-0.761517951,-0.25982269,0.260862621,-0.702150949,1.044102361,-0.740749082,-0.57376652,-0.475677215,0.754209532,0,pop
Balloon,-1.08048756,-0.706633481,-1.573486526,-2.149073187,-0.507926952,1.37937514,1.573120106,-0.350278737,-1.375926901,-1.658454839,3,other
Bat Country,1.613181004,0.104437015,1.315421733,0.868836314,-0.411984978,-1.000704609,-0.74174012,1.899448775,0.476548104,0.23110498,2,metal
Bayybe 07,-1.544080188,-0.5114887,-0.436850159,-0.120764843,-0.278602233,0.993449639,1.585579099,-0.08298438,-1.165247049,0.33491632,3,jazz
Be My Mistake,0.732471639,0.293483521,-1.123956774,-0.371000492,-0.533667482,1.012745914,-0.741419376,-0.56856913,-1.150566909,-0.310411936,0,rock
Beautiful Life,-0.788898868,1.269207427,-0.028786842,0.560566263,-0.458785941,-0.694974428,-0.655295343,-0.209206715,-0.182074408,0.049811264,1,other
Beautiful Night,0.777861123,0.043454271,1.08738635,0.819247668,0.023263979,-1.000077481,-0.681957587,-0.172082499,0.84950302,0.413544991,2,pop
Beekweide,0.133780991,-1.237183355,-1.258977725,-1.484030323,-0.531327434,1.372139037,1.657841257,-0.387402954,-0.84069692,-1.600316191,3,classical rock
Before You Go,0.068133194,-0.395621487,0.136238765,0.78087981,0.002203545,0.455565972,-0.741760752,-0.584161301,-0.801020865,-0.240273011,0,accoustic
Bennie And The Jets - Remastered 2014,1.784689667,0.866721316,0.415282062,0.406491565,-0.114798862,-0.395882164,-0.741746375,2.463736863,1.508125532,0.504281404,1,other
Better Than Today,0.311728218,-0.834697244,-0.886919994,0.297903289,-0.465806085,0.77395451,-0.741760752,-0.617573095,0.091690371,-1.430664533,0,pop
Better Together,-0.050508942,2.098572746,-0.547867385,0.217306657,-0.084378236,-0.258396205,-0.741710917,-0.42452717,1.08755935,-0.305540182,1,accoustic
Betty,-0.784313588,-2.151924516,-1.033942807,-1.003949488,-0.524307289,1.145407805,1.60052989,-0.49135076,-0.47964482,0.863501595,3,club
Billinghurst,3.926143473,1.49484358,0.514297426,0.270394259,0.112185809,-0.927735745,1.37626802,-0.55149199,-0.860534947,0.158422713,2,electro
Bird,0.156547627,-1.761634954,-1.027941876,-0.171801332,-0.526647337,1.381787174,-0.736851909,-0.454226543,-1.058915222,-1.168736128,0,other
Bison on the Plains,1.565043547,-0.291950822,-0.022785911,0.382602144,-0.681090515,-0.313872995,-0.710114911,0.191734822,-1.141044656,0.547554039,0,rock
Black Car,0.644153066,-0.712731756,0.05822666,0.131039304,-0.653009938,-0.171562967,1.503349746,-0.417102327,-0.257458912,-1.472826695,0,pop
Blackout,0.358268016,0.147124936,1.003373314,0.611964714,-0.035237225,-1.000916868,-0.73523224,-0.978420478,0.456710076,-0.82459688,2,deep-house
Blame,-0.477770811,0.537414498,0.451287649,0.772796016,-0.528987385,0.491746488,-0.741760752,-0.657667249,-0.15430117,0.33387749,2,deep-house
Blaster,-0.819893447,0.87281959,0.982370055,0.79644413,-0.243501511,-0.922670473,0.414433777,0.763447754,-0.332843417,0.263559457,2,other
Bleed American,-0.468887828,-0.523685249,1.225407766,0.690027619,0.861001218,-0.980993464,-0.741758061,4.743163748,0.789988938,1.491026456,2,pop
Bloodbuzz Ohio,1.104390611,-0.505390426,-0.784904165,0.380912993,-0.617909215,0.723301788,-0.74175704,-0.42452717,-1.300939157,0.769612871,0,rock
Bloom,-1.434257128,-1.676259112,-1.201968879,-0.824899486,-0.580468445,1.278069696,1.348858236,0.020963426,-0.52328848,-1.719387582,3,other
Bloom Innocent,3.28337342,-0.029725022,-0.880919063,-0.850357405,-0.491546615,1.244301214,-0.410351545,-0.298304835,-0.404260316,-1.382018639,0,other
Blow,-0.73238968,0.482530028,1.117391005,0.64562708,-0.182660259,-0.956438954,0.960137661,-0.461651387,-0.991465929,0.33617008,1,other
Body Rock,-0.840838753,0.628888614,1.243410559,0.829020613,6.711121601,-0.979136198,-0.734011259,2.055370483,0.659057957,0.268287924,1,other
Boiler,3.345889806,-0.493193877,0.577307203,0.603760266,0.685497606,-0.991823499,-0.703137875,-0.964313276,-0.864502553,-0.260225708,2,other
Bortom Träden,0.794396891,-0.474899054,-1.413201655,-1.820171364,-0.365184015,0.930736745,1.37626802,-0.59084366,-1.086688461,0.194531005,3,other
Bottom Of The Sea,0.501210541,1.531433226,0.391278338,0.410352481,-0.299662666,-0.98487684,-0.315663199,0.39220559,0.159139664,0.266281907,1,rock
Bottom of a Bottle,0.17549586,0.080043917,0.952365399,0.738651036,-0.442405604,-0.995610393,-0.741757862,-0.614603158,0.294038251,-0.448970342,2,other
Bouquet with Lilies,0.092114051,0.592298967,-0.553868316,-0.093617774,-0.648329841,0.725713823,1.553185717,-0.565599192,-1.07875325,-0.032435402,3,other
Break Stuff,-0.705133622,-0.450505956,1.042379366,0.561531492,2.311831073,-0.975252823,-0.740158526,-0.409677484,1.103429772,-0.361350419,2,other
Breathe,-0.713313635,0.537414498,-1.478011711,-0.907909191,-0.3839044,1.386611243,1.61797248,-0.439376857,-1.118429304,-0.199901935,3,dance
Breathe Me,0.989886411,0.171518033,0.340270423,0.479004403,-0.5734483,-0.913504743,1.102170179,-0.461651387,-0.685960306,0.05099338,0,pop
Brimful of Asha - Norman Cook Remix,0.448807335,0.848426492,1.282416612,1.026409968,0.027944075,-0.567136605,-0.741760752,1.342585529,2.190553677,0.253959236,1,pop
Bruises,0.154183092,1.293600524,-0.664885542,0.422297192,0.245568553,1.28048173,-0.741760752,0.139760919,-0.094787087,-0.264595958,0,other
Butterfly,0.094127101,1.293600524,0.844348639,0.863889515,0.556794958,-0.998118909,-0.741406917,-0.4468017,0.889179075,-0.540423189,1,rock
Bye Bye Little House,-0.134785439,-1.304264373,-1.495114365,-1.474378031,-0.578128397,1.374551071,1.60052989,0.711473851,-0.80498847,-0.921745381,3,classical rock
California Dreamin',-0.844864853,0.183714582,0.412281597,0.13321107,-0.538347578,0.513454797,-0.741760752,-0.880412547,0.841567809,-0.20917976,1,deep-house
Calm Wilderness,0.333616142,-2.0604504,-0.775902768,-0.702074081,-0.287962426,1.135759667,1.65285766,-0.194357029,-1.255708455,-0.096448812,3,other
Car Underwater,0.285414779,-0.541980072,0.733331413,0.757473004,0.137926338,-0.967534313,-0.741760752,-0.298304835,0.250394591,1.034442835,2,pop
Chariot,1.688175104,-0.913974811,-0.310830605,0.474781525,-0.601528878,0.597876,0.770760971,-0.583418816,-1.169214655,-0.587994431,0,pop
Children Of Today,-0.662348322,-0.102904315,0.919360278,0.841327284,-0.449425748,-0.979787447,-0.740270657,2.359789057,-0.205880041,0.409747889,2,dance
Chocolate,0.220981203,0.549611046,1.225407766,0.828779305,0.091125375,-1.000019592,-0.741760752,1.491082394,0.881243864,-0.663793187,1,other
Chop Suey!,-0.009608879,-0.639552463,1.213405904,0.895500768,1.469413738,-1.000632248,-0.738023055,-0.261180618,-0.392357499,0.311632203,2,other
City Lights,0.246431906,-1.115217867,-1.414401841,-1.420445854,-0.234141318,1.369727002,1.560661113,-0.521050133,-1.323157748,-1.273048972,3,other
Clap Your Hands,0.441346269,1.067964371,1.021376107,0.772796016,-0.060977755,-1.000019592,-0.687190364,1.424258805,1.559704404,0.051745636,1,other
Cleansing,1.491822848,-2.097040046,-1.362793833,-1.847801048,-0.528987385,1.304602074,1.56564471,-0.42452717,-1.381878309,-1.680521018,3,metal
Clear Skies,-0.778961431,-0.627355914,-1.18096562,-1.470879076,-0.62492936,1.266009524,1.475939962,-0.40225264,-1.326728593,-0.306364082,3,other
Click Click Boom,0.663964034,0.506923126,1.216406369,1.014947872,-0.154579681,-0.995055625,-0.741210065,0.206584508,0.496386131,-0.810232371,2,metal
Coda,-0.482931248,-1.054235123,-0.868917201,-0.486586679,-0.543027674,1.24188918,1.510825142,-0.49135076,-1.143028459,-1.385206772,3,hip hop
Cold Arms,-0.654008543,-0.56637317,-1.156961895,-0.089274243,-0.426025267,0.964505226,-0.741758012,-0.320579364,-1.332283241,0.683998965,0,rock
Cold Nights,-0.335962624,2.543746778,-0.325832933,0.411679671,0.025604027,-0.227039758,-0.741528019,-0.523277586,1.595412853,-0.41472478,0,other
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,0.284775715,0.580102418,0.400279735,0.530040892,-0.482186422,-0.429650646,-0.741760752,-0.417102327,-0.96369269,0.191342873,2,dance
Colgando,0.925980063,0.262992149,-0.418847366,-0.28606033,-0.634289552,1.285305799,1.665316652,-0.6457875,-0.99940114,-0.665978312,3,other
Collapse Into Light,-0.500729166,-1.334755745,-0.901922322,-0.844445376,-0.557067963,1.249125283,1.510825142,-0.46907623,-1.304113242,0.107842447,3,folk
Come On Eileen,1.004584871,-0.352933566,0.256257387,0.268825761,-0.187340355,-0.005132595,-0.741760752,1.305461313,1.69460299,-0.378723953,1,other
Come Out And Play (Keep ‘Em Separated),-0.208357622,-0.291950822,0.979369589,0.912874893,2.42883348,-0.872258955,-0.741743933,-0.613118189,1.833469183,1.435825188,2,other
Coming Home,-0.607484722,-1.987271107,-1.171964223,-0.891620949,-0.613229119,1.058574567,1.391218811,-0.667319545,-1.106526488,-1.29615398,3,accoustic
Coming Undone,-0.176835816,1.049669548,0.442286252,0.862924285,-0.04225737,-0.999240505,-0.741145278,-0.761615055,0.659057957,1.129692784,2,metal
Consequences,-0.517248958,-0.420014584,-0.712892991,0.54753567,-0.021196936,1.14299577,-0.741760752,-0.454226543,0.178977692,-1.226874777,0,other
Conversation,0.299058784,-1.718947033,-1.177965154,-0.603500057,-0.585148541,1.171940183,-0.715596868,-0.001311104,-1.271578877,-0.936181533,0,other
Count On You - ATFC's C-thru Remix,0.395461511,1.836346946,1.186401713,0.461871586,-0.255201752,-0.983574341,1.271612481,-0.818043864,0.722539645,0.158924217,1,electro
Count That - R3HAB Edit,-1.368880933,0.988686804,1.27641568,0.924819603,1.305610367,-0.770471104,-0.726286683,-0.640590109,0.246426985,0.193062315,2,electro
Courage,-0.778993384,0.677674809,-1.498414877,-1.798212401,-0.400284737,1.39625938,1.630431473,-0.4468017,-0.586770168,-1.266887636,3,rock
Crash,0.353714689,1.006981627,-0.220816638,-0.117869155,-0.545367723,-1.000205318,1.456005574,-0.721520901,-0.582802563,0.265493829,1,other
Crawling In The Dark,-0.572208417,0.41544901,1.207404972,0.825159696,0.732298569,-1.000591244,-0.741571625,-0.216631559,1.242295964,-0.892443215,2,grunge
Crazy,-0.533225545,2.019295179,0.172244351,0.813335639,-0.552387867,-0.879495058,-0.723969311,-0.461651387,1.012174846,-0.237084878,1,dance
Crazy Horses,-0.921344775,-0.072412943,1.342425923,0.823470545,0.231528264,-0.482715402,-0.741760752,1.305461313,1.373226945,0.056474103,1,pop
Creep,0.444126195,-0.05411812,-0.298828743,0.168321279,-0.475166278,-0.976700043,-0.741409409,-0.283455148,-1.114461699,-0.958140246,0,accoustic
Crossing,-0.922463136,0.110535289,-1.021940945,-0.632215623,-0.407304882,1.253949352,1.525775933,-0.549264537,-1.227538456,-0.092723354,3,other
Crystal Baller - 2006 Remaster,0.717645367,-0.883483439,0.496294633,0.652504337,0.311089902,-0.967051906,-0.741732595,0.214009351,0.186912903,2.689621151,2,metal
Crystal Shores,-0.637201174,-0.255361175,-1.511916972,-1.806537503,-0.582808493,1.309426143,1.558169314,-0.46907623,-0.955757479,-0.308370098,3,other
Curiosity,-0.879054749,-0.572471444,-0.820909752,-1.297982409,0.16132682,1.374551071,1.418628595,-0.454226543,-0.84069692,0.550455599,3,pop
Curious Morning,-0.457240896,-0.810304146,-0.895921391,-0.684096688,-0.489206567,1.335958521,1.63541507,-0.379978111,-1.177149866,-0.379977713,3,other
Cursive,0.472244989,-0.182181882,-0.78790463,-0.025327813,-0.617909215,1.253949352,-0.74162171,-0.290879991,-0.868470158,-0.124353931,0,british
Daar Gaat Ze,0.272633509,0.702067907,-0.112799878,0.341821214,-0.664710178,0.880084023,-0.741760752,-0.372553267,1.115332588,-1.130371068,1,dance
Dance Little Sister,0.380219847,1.208224682,0.499295098,0.028363057,0.76973934,-0.612965259,-0.741760752,-0.680684263,2.162780439,-0.11432385,1,pop
Dancing On My Own,0.785450002,0.5130214,-1.066947928,0.305745775,-0.56174806,1.051338464,-0.74171291,-0.60643583,-0.76134481,-0.229741426,0,other
Dancing Through Sunday,-1.025304428,0.189812856,1.35142732,1.023272973,0.877381555,-0.994283774,-0.741760752,0.830271343,1.024077662,-0.161572696,2,metal
Dancing With Your Ghost,-0.20944403,0.641085163,-0.607876696,0.367399785,-0.660030082,0.83425537,-0.741686995,-0.476501073,-0.015434977,-1.563097425,0,electro
Dancing With an Astronaut,-0.682207219,-0.048019845,-0.367839451,0.420970002,-0.676410419,0.173357949,-0.683203486,0.629800575,-0.852599736,-1.565210907,0,pop
